pais,iso3,nombre,agregacion,periodo,factor,version,fuente,url,licencia,verificado_el,notas
CL,CHL,Chile,no_agricola,anual,45.5,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
CL,CHL,Chile,agricola,anual,91.3,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
CL,CHL,Chile,no_especificado,anual,88.1,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
CL,CHL,Chile,no_agricola,01,84.9,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
CL,CHL,Chile,no_agricola,02,84.1,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
CL,CHL,Chile,no_agricola,03,70.4,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
CL,CHL,Chile,no_agricola,04,67.7,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
CL,CHL,Chile,no_agricola,05,59.8,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
CL,CHL,Chile,no_agricola,06,5.19,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
CL,CHL,Chile,no_agricola,07,8.81,AWARE 2.0,"Seitfudem G., Berger M., Muller Schmied H. & Boulay A.-M. (2025) - AWARE 2.0 [conjunto de datos], Zenodo v1.0.0 (03-04-2025), hojas CFs_nonagri / CFs_agri / CFs_unspecified",https://doi.org/10.5281/zenodo.15133241,CC BY 4.0,2026-09-16,Promedio nacional. AWARE se define por cuenca y mes: para un sitio concreto el factor de su cuenca puede ser muy distinto del promedio del pais. El factor pais solo es defendible cuando no se conoce la cuenca.
