marco,codigo,titulo,dimension,obligatorio,dato_fuente,responde,descripcion,fuente,url,verificado_el,notas
GRI,2-1,Detalles de la organizacion,general,si,empresa.json,parte,"Quien es la organizacion: nombre, forma juridica, propiedad, sede y paises donde opera.",GRI 2: General Disclosures 2021 (estandar oficial),https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,GRI no admite razon de omision en esta divulgacion cuando se reporta 'de conformidad con'.
GRI,2-2,Entidades incluidas en el reporte,general,si,empresa.json,parte,Que sociedades o unidades quedan dentro del reporte y como se comparan con las de los estados financieros.,GRI 2: General Disclosures 2021 (estandar oficial),https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,GRI no admite razon de omision en esta divulgacion cuando se reporta 'de conformidad con'.
GRI,2-3,"Periodo de reporte, frecuencia y contacto",general,si,empresa.json,parte,"Que periodo cubre el reporte, cada cuanto se publica, cuando se publico y a quien escribirle por dudas.",GRI 2: General Disclosures 2021 (estandar oficial),https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,GRI no admite razon de omision en esta divulgacion cuando se reporta 'de conformidad con'.
GRI,2-4,Reexpresiones de informacion,general,si,,,"Cifras de reportes anteriores que se corrigieron, por que se corrigieron y que efecto tuvo el cambio.",GRI 2: General Disclosures 2021 (estandar oficial),https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,GRI no admite razon de omision en esta divulgacion cuando se reporta 'de conformidad con'.
GRI,2-5,Aseguramiento externo,general,si,,,"Si un tercero independiente reviso el reporte, con que alcance y bajo que norma, y quien lo contrato.",GRI 2: General Disclosures 2021 (estandar oficial),https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,GRI no admite razon de omision en esta divulgacion cuando se reporta 'de conformidad con'.
GRI,2-seccion-actividades,Seccion de GRI 2: actividades y trabajadores,social,si,empresa.json;sitios.xlsx;personas.xlsx,parte,"Que hace la organizacion, su cadena de valor, y cuanta gente trabaja en ella y para ella.",GRI 2: General Disclosures 2021 (estandar oficial),https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,"Identificador de seccion puesto por el motor. La investigacion verifico el contenido de esta seccion de GRI 2, no el codigo de cada divulgacion: toma los codigos exactos del estandar oficial."
GRI,2-seccion-gobernanza,Seccion de GRI 2: gobernanza,gobernanza,si,,,"Como se gobierna la organizacion: estructura, comites, quien responde por los temas de sostenibilidad y como se evalua su desempeno.",GRI 2: General Disclosures 2021 (estandar oficial),https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,"Identificador de seccion puesto por el motor. La investigacion verifico el contenido de esta seccion de GRI 2, no el codigo de cada divulgacion: toma los codigos exactos del estandar oficial."
GRI,2-seccion-estrategia,"Seccion de GRI 2: estrategia, politicas y practicas",gobernanza,si,diagnostico,parte,"Estrategia de sostenibilidad, compromisos y politicas, debida diligencia, cumplimiento normativo y membresias en asociaciones.",GRI 2: General Disclosures 2021 (estandar oficial),https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,"Identificador de seccion puesto por el motor. La investigacion verifico el contenido de esta seccion de GRI 2, no el codigo de cada divulgacion: toma los codigos exactos del estandar oficial."
GRI,2-seccion-grupos-interes,Seccion de GRI 2: participacion de grupos de interes,social,si,,,"Con quienes dialoga la organizacion, como los identifica y como trata sus inquietudes, incluida la negociacion colectiva.",GRI 2: General Disclosures 2021 (estandar oficial),https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,"Identificador de seccion puesto por el motor. La investigacion verifico el contenido de esta seccion de GRI 2, no el codigo de cada divulgacion: toma los codigos exactos del estandar oficial."
GRI,3-1,Proceso para determinar los temas materiales,general,si,,,Como se identificaron los temas relevantes: que impactos se miraron y a quien se consulto.,GRI 3: Material Topics 2021 (via GRI 1: Foundation 2021),https://globalreporting.org/pdf.ashx?id=12334,2026-09-15,GRI 3: Material Topics 2021. Solo 3-3 admite razon de omision.
GRI,3-2,Lista de temas materiales,general,si,,,La lista final de temas relevantes y los cambios respecto del reporte anterior.,GRI 3: Material Topics 2021 (via GRI 1: Foundation 2021),https://globalreporting.org/pdf.ashx?id=12334,2026-09-15,GRI 3: Material Topics 2021.
GRI,3-3,Gestion de cada tema material,general,si,diagnostico,parte,"Para cada tema relevante: que impactos genera, que politicas y acciones hay, y como se mide si funcionan.",GRI 3: Material Topics 2021 (via GRI 1: Foundation 2021),https://globalreporting.org/pdf.ashx?id=12334,2026-09-15,GRI 3: Material Topics 2021. Se reporta una vez por cada tema material.
GRI,201-1,Valor economico generado y distribuido,economico,segun_materialidad,,,"Cuanto genera la empresa y como se reparte: costos, sueldos, pagos a financistas, impuestos e inversion en la comunidad.",GRI 201: Economic Performance 2016 (PDF oficial),https://www.globalreporting.org/pdf.ashx?id=12368,2026-09-15,
GRI,201-2,Riesgos y oportunidades financieras por el cambio climatico,economico,segun_materialidad,,,Riesgos y oportunidades climaticas con efecto en las finanzas de la empresa.,GRI 201: Economic Performance 2016 (PDF oficial),https://www.globalreporting.org/pdf.ashx?id=12368,2026-09-15,"Se retira el 1-ene-2027, cuando entra en vigor GRI 102: Climate Change 2025."
GRI,201-3,Obligaciones de planes de pensiones,economico,segun_materialidad,,,Cobertura de los planes de pensiones de prestacion definida y otros planes de jubilacion.,GRI 201: Economic Performance 2016 (PDF oficial),https://www.globalreporting.org/pdf.ashx?id=12368,2026-09-15,
GRI,201-4,Ayudas financieras recibidas del gobierno,economico,segun_materialidad,,,"Subsidios, creditos fiscales e incentivos publicos recibidos en el periodo.",GRI 201: Economic Performance 2016 (PDF oficial),https://www.globalreporting.org/pdf.ashx?id=12368,2026-09-15,
GRI,205-1,Operaciones evaluadas por riesgo de corrupcion,gobernanza,segun_materialidad,,,Que operaciones se revisaron buscando riesgos de corrupcion y que riesgos importantes aparecieron.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,205-2,Comunicacion y formacion anticorrupcion,gobernanza,segun_materialidad,,,"A quienes se les comunico la politica anticorrupcion y a quienes se capacito, por categoria y lugar.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,205-3,Casos confirmados de corrupcion y medidas,gobernanza,segun_materialidad,,,Casos de corrupcion confirmados en el periodo y que se hizo con ellos.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,207-1,Enfoque tributario,gobernanza,segun_materialidad,,,"Estrategia tributaria de la empresa, quien la aprueba y como se conecta con el negocio.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,207-2,Gobernanza y control tributario,gobernanza,segun_materialidad,,,"Quien controla los riesgos tributarios, con que controles internos y que canal de denuncia existe.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,207-3,Dialogo sobre temas tributarios,gobernanza,segun_materialidad,,,Como se conversan los temas tributarios con grupos de interes y con la autoridad.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,207-4,Reporte pais por pais,gobernanza,segun_materialidad,,,"Por cada pais: ingresos, resultados, impuestos devengados y pagados, personal y activos.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,301-1,Materiales usados por peso o volumen,ambiental,segun_materialidad,,,"Cuanto material entra al proceso productivo, separando renovables de no renovables.",GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
GRI,301-2,Materiales reciclados usados,ambiental,segun_materialidad,,,Que porcentaje de los insumos proviene de material reciclado.,GRI - listado oficial de estandares y descargas,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,2026-09-15,
