producto,categoria,material,anio,meta_recoleccion_pct,meta_valorizacion_pct,decreto,articulo,fuente,url,verificado_el,notas
envases,domiciliario,carton_para_liquidos,2023,5,5,DS 12/2020 MMA,Art. 21 del DS 12/2020,Ministerio del Medio Ambiente - Manual Ley REP y los decretos de neumaticos y envases (julio 2025) - tabla oficial del decreto,https://economiacircular.mma.gob.cl/wp-content/uploads/2025/07/4.-Manual-Ley-REP.pdf,2026-09-15,Meta unica por subcategoria: la meta de recoleccion se entiende cumplida al momento de la valorizacion (art. 21). Solo se cumple con reciclaje material (art. 28). Primer anio de metas: las metas rigen desde el 16-09-2023 y se prorratean segun el art. 1 transitorio (MO = 3 meses). Hasta 2026 se puede cubrir hasta un 50% de la meta con toneladas de otras subcategorias excluyendo el vidrio (art. 21 inciso 2).
envases,domiciliario,metal,2023,6,6,DS 12/2020 MMA,Art. 21 del DS 12/2020,Ministerio del Medio Ambiente - Manual Ley REP y los decretos de neumaticos y envases (julio 2025) - tabla oficial del decreto,https://economiacircular.mma.gob.cl/wp-content/uploads/2025/07/4.-Manual-Ley-REP.pdf,2026-09-15,Meta unica por subcategoria: la meta de recoleccion se entiende cumplida al momento de la valorizacion (art. 21). Solo se cumple con reciclaje material (art. 28). Primer anio de metas: las metas rigen desde el 16-09-2023 y se prorratean segun el art. 1 transitorio (MO = 3 meses). Hasta 2026 se puede cubrir hasta un 50% de la meta con toneladas de otras subcategorias excluyendo el vidrio (art. 21 inciso 2).
envases,domiciliario,papel_y_carton,2023,5,5,DS 12/2020 MMA,Art. 21 del DS 12/2020,Ministerio del Medio Ambiente - Manual Ley REP y los decretos de neumaticos y envases (julio 2025) - tabla oficial del decreto,https://economiacircular.mma.gob.cl/wp-content/uploads/2025/07/4.-Manual-Ley-REP.pdf,2026-09-15,Meta unica por subcategoria: la meta de recoleccion se entiende cumplida al momento de la valorizacion (art. 21). Solo se cumple con reciclaje material (art. 28). Primer anio de metas: las metas rigen desde el 16-09-2023 y se prorratean segun el art. 1 transitorio (MO = 3 meses). Hasta 2026 se puede cubrir hasta un 50% de la meta con toneladas de otras subcategorias excluyendo el vidrio (art. 21 inciso 2).
envases,domiciliario,plastico,2023,3,3,DS 12/2020 MMA,Art. 21 del DS 12/2020,Ministerio del Medio Ambiente - Manual Ley REP y los decretos de neumaticos y envases (julio 2025) - tabla oficial del decreto,https://economiacircular.mma.gob.cl/wp-content/uploads/2025/07/4.-Manual-Ley-REP.pdf,2026-09-15,Meta unica por subcategoria: la meta de recoleccion se entiende cumplida al momento de la valorizacion (art. 21). Solo se cumple con reciclaje material (art. 28). Primer anio de metas: las metas rigen desde el 16-09-2023 y se prorratean segun el art. 1 transitorio (MO = 3 meses). Hasta 2026 se puede cubrir hasta un 50% de la meta con toneladas de otras subcategorias excluyendo el vidrio (art. 21 inciso 2).
envases,domiciliario,vidrio,2023,11,11,DS 12/2020 MMA,Art. 21 del DS 12/2020,Ministerio del Medio Ambiente - Manual Ley REP y los decretos de neumaticos y envases (julio 2025) - tabla oficial del decreto,https://economiacircular.mma.gob.cl/wp-content/uploads/2025/07/4.-Manual-Ley-REP.pdf,2026-09-15,Meta unica por subcategoria: la meta de recoleccion se entiende cumplida al momento de la valorizacion (art. 21). Solo se cumple con reciclaje material (art. 28). Primer anio de metas: las metas rigen desde el 16-09-2023 y se prorratean segun el art. 1 transitorio (MO = 3 meses). Hasta 2026 se puede cubrir hasta un 50% de la meta con toneladas de otras subcategorias excluyendo el vidrio (art. 21 inciso 2).
envases,domiciliario,carton_para_liquidos,2024,8,8,DS 12/2020 MMA,Art. 21 del DS 12/2020,Ministerio del Medio Ambiente - Manual Ley REP y los decretos de neumaticos y envases (julio 2025) - tabla oficial del decreto,https://economiacircular.mma.gob.cl/wp-content/uploads/2025/07/4.-Manual-Ley-REP.pdf,2026-09-15,Meta unica por subcategoria: la meta de recoleccion se entiende cumplida al momento de la valorizacion (art. 21). Solo se cumple con reciclaje material (art. 28). Hasta 2026 se puede cubrir hasta un 50% de la meta con toneladas de otras subcategorias excluyendo el vidrio (art. 21 inciso 2).
envases,domiciliario,metal,2024,9,9,DS 12/2020 MMA,Art. 21 del DS 12/2020,Ministerio del Medio Ambiente - Manual Ley REP y los decretos de neumaticos y envases (julio 2025) - tabla oficial del decreto,https://economiacircular.mma.gob.cl/wp-content/uploads/2025/07/4.-Manual-Ley-REP.pdf,2026-09-15,Meta unica por subcategoria: la meta de recoleccion se entiende cumplida al momento de la valorizacion (art. 21). Solo se cumple con reciclaje material (art. 28). Hasta 2026 se puede cubrir hasta un 50% de la meta con toneladas de otras subcategorias excluyendo el vidrio (art. 21 inciso 2).
envases,domiciliario,papel_y_carton,2024,9,9,DS 12/2020 MMA,Art. 21 del DS 12/2020,Ministerio del Medio Ambiente - Manual Ley REP y los decretos de neumaticos y envases (julio 2025) - tabla oficial del decreto,https://economiacircular.mma.gob.cl/wp-content/uploads/2025/07/4.-Manual-Ley-REP.pdf,2026-09-15,Meta unica por subcategoria: la meta de recoleccion se entiende cumplida al momento de la valorizacion (art. 21). Solo se cumple con reciclaje material (art. 28). Hasta 2026 se puede cubrir hasta un 50% de la meta con toneladas de otras subcategorias excluyendo el vidrio (art. 21 inciso 2).
envases,domiciliario,plastico,2024,6,6,DS 12/2020 MMA,Art. 21 del DS 12/2020,Ministerio del Medio Ambiente - Manual Ley REP y los decretos de neumaticos y envases (julio 2025) - tabla oficial del decreto,https://economiacircular.mma.gob.cl/wp-content/uploads/2025/07/4.-Manual-Ley-REP.pdf,2026-09-15,Meta unica por subcategoria: la meta de recoleccion se entiende cumplida al momento de la valorizacion (art. 21). Solo se cumple con reciclaje material (art. 28). Hasta 2026 se puede cubrir hasta un 50% de la meta con toneladas de otras subcategorias excluyendo el vidrio (art. 21 inciso 2).
envases,domiciliario,vidrio,2024,15,15,DS 12/2020 MMA,Art. 21 del DS 12/2020,Ministerio del Medio Ambiente - Manual Ley REP y los decretos de neumaticos y envases (julio 2025) - tabla oficial del decreto,https://economiacircular.mma.gob.cl/wp-content/uploads/2025/07/4.-Manual-Ley-REP.pdf,2026-09-15,Meta unica por subcategoria: la meta de recoleccion se entiende cumplida al momento de la valorizacion (art. 21). Solo se cumple con reciclaje material (art. 28). Hasta 2026 se puede cubrir hasta un 50% de la meta con toneladas de otras subcategorias excluyendo el vidrio (art. 21 inciso 2).
