id,ambito,producto,situacion,minimo_c,maximo_c,tolerancia_c,fuente,articulo,url,licencia,verificado_el,notas
rsa-congelado-centro,alimentos,alimento congelado,proceso,,-18,,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,186,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,El proceso termico debe llevar el centro del producto a -18 C o menos. La rotulacion PRODUCTO CONGELADO es obligatoria.
rsa-congelado-camara,alimentos,alimento congelado,almacenamiento,,-18,,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,189,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,Camaras frigorificas a -18 C o inferior con minima fluctuacion y registro continuo de temperatura.
rsa-congelado-interurbano,alimentos,alimento congelado,transporte interurbano,,-18,-15,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,190,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,Se tolera un aumento hasta -15 C que debe reducirse rapidamente. Exige termometro legible desde fuera y registro durante el viaje.
rsa-congelado-local,alimentos,alimento congelado,transporte local,,-18,-12,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,191,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,Todo aumento sobre -18 C debe durar el minimo tiempo y en ningun caso superar -12 C.
rsa-congelado-venta,alimentos,alimento congelado,exhibicion y venta,,-18,-12,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,192,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,Vitrinas capaces de mantener -18 C. Se tolera por periodos breves un aumento que no sobrepase -12 C.
rsa-reenvasado,alimentos,alimento congelado,reenvasado,,8,,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,188,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,La sala de reenvasado no puede superar 8 C y necesita registro permanente.
rsa-aves-enfriadas,alimentos,aves faenadas,enfriamiento,,2,,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,286,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,Aves trozadas menudencias y despojos enfriados a 2 C como maximo. En el punto de venta se permite hasta 6 C medidos dentro de la masa muscular.
rsa-aves-venta,alimentos,aves faenadas,punto de venta,,6,,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,286,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,Medido en el interior de la masa muscular.
rsa-aves-refrigeradas,alimentos,aves refrigeradas,almacenamiento,-18,4,,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,287,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,
rsa-aves-congeladas,alimentos,aves congeladas,almacenamiento,,-18,,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,288,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,Medida en el centro de la masa muscular.
rsa-cecinas,alimentos,cecinas crudas y cocidas,elaboracion y venta,0,6,,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,302,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,Cecinas crudas frescas acidificadas y cocidas.
rsa-cecinas-maduradas,alimentos,cecinas maduradas,almacenamiento,,12,,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,302,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,Lugar fresco y seco con maximo 12 C. No requieren refrigeracion.
rsa-cecinas-transporte,alimentos,cecinas,transporte y distribucion,0,6,,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,303,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,Vehiculos con autorizacion sanitaria.
rsa-comidas-calientes,alimentos,comidas y platos preparados calientes,conservacion y transporte,65,,,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,466,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,Recipientes termicos a temperatura uniforme y permanente de 65 C. Aqui el riesgo es quedarse corto de calor.
rsa-comidas-frias,alimentos,comidas y platos preparados frios,conservacion y transporte,,5,,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,466,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,Aplica tambien a la distribucion de alimentos en todo tipo de transporte de pasajeros.
rsa-feria-carnes,alimentos,pescados mariscos y carnes en ferias,venta,0,5,,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,4 letra d,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,Debe mantenerse durante toda la jornada.
rsa-feria-quesos,alimentos,quesos y cecinas en puestos de venta,venta,,5,,Reglamento Sanitario de los Alimentos DS 977/96 MINSAL texto consolidado mayo 2024,4 letra f,https://www.bcn.cl/leychile/navegar?idNorma=71271,Normativa publica de Chile,2026-09-16,Las cecinas crudas maduradas pueden ir sin refrigeracion en lugar seco y fresco con maximo 12 C.
nt208-refrigerado,medicamentos,medicamento refrigerado,almacenamiento y transporte,2,8,,Norma Tecnica 208 MINSAL sobre almacenamiento y transporte de medicamentos refrigerados y congelados,Decreto Exento 48 de 2019 modificado por el Decreto Exento 49 de 2020,https://www.bcn.cl/leychile/navegar?idNorma=1136952,Normativa publica de Chile,2026-09-16,Rango 5 C mas menos 3 C. FUENTE SECUNDARIA no se pudo leer el texto de la norma. Confirmalo en el PDF de MINSAL antes de usarlo para liberar producto. No aplica a farmacias botiquines ni recetarios magistrales.
usp-refrigerador,medicamentos,refrigerador,almacenamiento,2,8,,USP General Chapter 659 Packaging and Storage Requirements,659,https://www.usp.org,Referencia internacional citada,2026-09-16,FUENTE SECUNDARIA el texto oficial no fue accesible. Verificar antes de codificar una decision.
usp-frio-controlado,medicamentos,frio controlado,almacenamiento,2,8,15,USP General Chapter 659 Packaging and Storage Requirements,659,https://www.usp.org,Referencia internacional citada,2026-09-16,FUENTE SECUNDARIA. Admite excursiones hasta 15 C si no superan 24 horas y la temperatura cinetica media no excede 8 C.
usp-congelador,medicamentos,congelador,almacenamiento,-25,-10,,USP General Chapter 659 Packaging and Storage Requirements,659,https://www.usp.org,Referencia internacional citada,2026-09-16,FUENTE SECUNDARIA.
usp-fresco,medicamentos,fresco,almacenamiento,8,15,,USP General Chapter 659 Packaging and Storage Requirements,659,https://www.usp.org,Referencia internacional citada,2026-09-16,FUENTE SECUNDARIA.
usp-crt,medicamentos,temperatura ambiente controlada,almacenamiento,20,25,30,USP General Chapter 659 Packaging and Storage Requirements,659,https://www.usp.org,Referencia internacional citada,2026-09-16,FUENTE SECUNDARIA. Admite excursiones entre 15 y 30 C si la temperatura cinetica media no excede 25 C. USP propuso bajar el minimo a 15 C pero no se pudo confirmar si ya es texto oficial: confirma el rango antes de usarlo.
