id,modo,vehiculo,detalle,unidad,kg_co2e_ttw,kg_co2e_wtt,kg_co2e_wtw,anio,fuente,url,licencia,verificado_el,notas
desnz-hgv-promedio,carretera,camion,Camion pesado promedio no refrigerado,t.km,0.10356,0.02359,0.12715,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,Valor por defecto para un camion de carga cuando no se sabe el tipo. Carga media del parque britanico.
desnz-hgv-rigido,carretera,camion rigido,Camion rigido promedio no refrigerado,t.km,0.19947,0.04332,0.24279,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,Camion de chasis unico (sin acoplado).
desnz-hgv-rigido-7-17,carretera,camion rigido,Camion rigido de 7.5 a 17 toneladas,t.km,0.43002,0.09246,0.52248,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,
desnz-hgv-rigido-17,carretera,camion rigido,Camion rigido de mas de 17 toneladas,t.km,0.17256,0.03736,0.20992,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,
desnz-hgv-articulado,carretera,camion articulado,Camion con acoplado promedio no refrigerado,t.km,0.07926,0.01823,0.09749,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,Tracto con semirremolque. Es el mas eficiente por tonelada kilometro.
desnz-hgv-articulado-33,carretera,camion articulado,Camion con acoplado de mas de 33 toneladas,t.km,0.07835,0.01799,0.09634,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,
desnz-hgv-refrigerado,carretera,camion refrigerado,Camion pesado refrigerado promedio,t.km,0.12122,0.02769,0.14891,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,Incluye el consumo del equipo de frio. Es un 17 por ciento mas alto que el mismo camion sin frio.
desnz-hgv-refrigerado-art,carretera,camion refrigerado,Camion refrigerado con acoplado,t.km,0.09166,0.02114,0.11280,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,
desnz-furgon,carretera,furgon,Furgoneta promedio de hasta 3.5 toneladas,t.km,0.63511,0.15095,0.78606,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,Repartir en furgoneta emite seis veces mas por tonelada kilometro que un camion grande.
desnz-tren,ferrocarril,tren de carga,Tren de carga,t.km,0.02583,0.00691,0.03274,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,No necesita factor de ajuste de distancia: la via fija el recorrido.
desnz-contenedor,maritimo,portacontenedores,Buque portacontenedores promedio,t.km,0.01612,0.00365,0.01977,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,Valor por defecto del transporte maritimo de carga en contenedor.
desnz-contenedor-8000,maritimo,portacontenedores,Portacontenedores de mas de 8000 TEU,t.km,0.01266,0.00287,0.01553,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,
desnz-contenedor-5000,maritimo,portacontenedores,Portacontenedores de 5000 a 7999 TEU,t.km,0.01681,0.00381,0.02062,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,
desnz-contenedor-2000,maritimo,portacontenedores,Portacontenedores de 2000 a 2999 TEU,t.km,0.02025,0.00459,0.02484,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,
desnz-contenedor-1000,maritimo,portacontenedores,Portacontenedores de 1000 a 1999 TEU,t.km,0.03250,0.00737,0.03987,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,
desnz-granelero,maritimo,granelero,Buque granelero promedio,t.km,0.00353,0.00080,0.00433,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,El modo mas eficiente por tonelada kilometro de todo el catalogo.
desnz-granelero-60000,maritimo,granelero,Granelero de 60000 a 99999 dwt,t.km,0.00415,0.00094,0.00509,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,
desnz-carga-general,maritimo,carga general,Buque de carga general promedio,t.km,0.01321,0.00300,0.01621,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,
desnz-roro,maritimo,transbordador,Transbordador roll on roll off,t.km,0.05158,0.01170,0.06328,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,
desnz-vehiculos,maritimo,buque de vehiculos,Buque de transporte de vehiculos,t.km,0.03852,0.00873,0.04725,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,
desnz-aereo-corto,aereo,avion de carga,Vuelo de corta distancia,t.km,1.27835,0.20515,1.48350,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,Incluye el forzamiento radiativo. Sin el es 0.75539 kg CO2e por t.km.
desnz-aereo-nacional,aereo,avion de carga,Vuelo nacional,t.km,4.60397,0.57429,5.17826,2026,DESNZ (Reino Unido) GHG Conversion Factors 2026 - Freighting goods,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Open Government Licence v3.0,2026-09-15,Incluye el forzamiento radiativo. Sin el es 2.71931 kg CO2e por t.km.
