codigo,bien,actividad,vida_util_normal,vida_util_acelerada,resolucion,fuente,verificado_el,notas
sii-gen-01,"Construcciones con estructuras de acero, cubierta y entrepisos de perfiles acero o losas hormigon armado",generico,80,26,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-02,"Edificios, casas y otras construcciones, con muros de ladrillos o de hormigon, con cadenas, pilares y vigas hormigon armado",generico,50,16,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,"El terreno sobre el que esta la construccion no se deprecia: separa su valor del valor del edificio."
sii-gen-03,"Edificios fabricas de material solido albanileria de ladrillo, de concreto armado y estructura metalica",generico,40,13,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-04,Construcciones de adobe o madera en general,generico,30,10,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-05,Galpones de madera o estructura metalica,generico,20,6,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,"Es la fila que suele corresponder a bodegas y galpones livianos. Si la bodega es de hormigon, mira las filas de edificios."
sii-gen-06,"Otras construcciones definitivas (caminos, puentes, tuneles, vias ferreas)",generico,20,6,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-07,Construcciones provisorias,generico,10,3,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-08,"Instalaciones en general (electricas, de oficina)",generico,10,3,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-09,Camiones de uso general,generico,7,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,
sii-gen-10,Camionetas y jeeps,generico,7,2,Res. Ex. SII N 43 de 26.12.2002,"SII - Tabla de vida util de los bienes fisicos del activo inmovilizado (sii.cl), nomina de activos genericos; instrucciones en la Circular SII N 6 de 14.01.2003",2026-09-16,"Si la camioneta es electrica o hibrida enchufable, revisa las filas de la Res. Ex. 56/2021."
